Date	Health_Region	Cases
2020-03-26 20:04:00	Hastings-Prince-Edward	5
2020-03-26 20:04:00	HKPR	9
2020-03-26 20:04:00	Huron-Perth	NA
2020-03-26 20:04:00	KFLA	14
2020-03-26 20:04:00	Lambton	NA
2020-03-26 20:04:00	Leeds	NA
2020-03-26 20:04:00	Middlesex-London	20
2020-03-26 20:04:00	Niagara	10
2020-03-26 20:04:00	North-Bay-Parry-Sound	NA
2020-03-26 20:04:00	Northwestern	NA
2020-03-26 20:04:00	Ottawa	25
2020-03-26 20:04:00	Peel	75
2020-03-26 20:04:00	Peterborough	9
2020-03-26 20:04:00	Porcupine	NA
2020-03-26 20:04:00	Renfrew	NA
2020-03-26 20:04:00	Simcoe-Muskoka	26
2020-03-26 20:04:00	SouthWestern	NA
2020-03-26 20:04:00	Sudbury	6
2020-03-26 20:04:00	Thunderbay	NA
2020-03-26 20:04:00	Timiskaming	NA
2020-03-26 20:04:00	Toronto	339
2020-03-26 20:04:00	Waterloo	25
2020-03-26 20:04:00	Wellington-Dufferin-Guelph	NA
2020-03-26 20:04:00	Windsor-Essex	5
2020-03-26 20:04:00	York	110
2020-03-28 12:21:57	Algoma	NA
2020-03-28 12:21:57	Brant	7
2020-03-28 12:21:57	Chatham-Kent	4
2020-03-28 12:21:57	Durham
2020-03-28 12:21:57	Eastern-Ontario	4
2020-03-28 12:21:57	Grey-Bruce	NA
2020-03-28 12:21:57	Haldimand-Norfolk	NA
2020-03-28 12:21:57	Halton	20
2020-03-28 12:21:57	Hamilton	51
2020-03-28 12:21:57	Hastings-Prince-Edward	6
2020-03-28 12:21:57	HKPR	9
2020-03-28 12:21:57	Huron-Perth	NA
2020-03-28 12:21:57	KFLA	17
2020-03-28 12:21:57	Lambton	8
2020-03-28 12:21:57	Leeds	NA
2020-03-28 12:21:57	Middlesex-London	25
2020-03-28 12:21:57	Niagara	14
2020-03-28 12:21:57	North-Bay-Parry-Sound	NA
2020-03-28 12:21:57	Northwestern	NA
2020-03-28 12:21:57	Ottawa	75
2020-03-28 12:21:57	Peel	154
2020-03-28 12:21:57	Peterborough	13
2020-03-28 12:21:57	Porcupine	10
2020-03-28 12:21:57	Renfrew	NA
2020-03-28 12:21:57	Simcoe-Muskoka	33
2020-03-28 12:21:57	SouthWestern	5
2020-03-28 12:21:57	Sudbury
2020-03-28 12:21:57	Thunderbay	NA
2020-03-28 12:21:57	Timiskaming	NA
2020-03-28 12:21:57	Toronto	457
2020-03-28 12:21:57	Waterloo	69
2020-03-28 12:21:57	Wellington-Dufferin-Guelph	7
2020-03-28 12:21:57	Windsor-Essex	15
2020-03-28 12:21:57	York	163
2020-03-28 10:58:37	Algoma	NA
2020-03-28 10:58:37	Brant	7
2020-03-28 10:58:37	Chatham-Kent	4
2020-03-28 10:58:37	Durham	67
2020-03-28 10:58:37	Eastern-Ontario	4
2020-03-28 10:58:37	Grey-Bruce	NA
2020-03-28 10:58:37	Haldimand-Norfolk	NA
2020-03-28 10:58:37	Halton	19
2020-03-28 10:58:37	Hamilton	51
2020-03-28 10:58:37	Hastings-Prince-Edward	6
2020-03-28 10:58:37	HKPR	9
2020-03-28 10:58:37	Huron-Perth	NA
2020-03-28 10:58:37	KFLA	17
2020-03-28 10:58:37	Lambton	8
2020-03-28 10:58:37	Leeds	NA
2020-03-28 10:58:37	Middlesex-London	23
2020-03-28 10:58:37	Niagara	12
2020-03-28 10:58:37	North-Bay-Parry-Sound	NA
2020-03-28 10:58:37	Northwestern	NA
2020-03-28 10:58:37	Ottawa	75
2020-03-28 10:58:37	Peel	154
2020-03-28 10:58:37	Peterborough	13
2020-03-28 10:58:37	Porcupine	6
2020-03-28 10:58:37	Renfrew	NA
2020-03-28 10:58:37	Simcoe-Muskoka	33
2020-03-28 10:58:37	SouthWestern	5
2020-03-28 10:58:37	Sudbury
2020-03-28 10:58:37	Thunderbay	NA
2020-03-28 10:58:37	Timiskaming	NA
2020-03-28 10:58:37	Toronto	457
2020-03-28 10:58:37	Waterloo	69
2020-03-28 10:58:37	Wellington-Dufferin-Guelph	7
2020-03-28 10:58:37	Windsor-Essex	9
2020-03-28 10:58:37	York
2020-03-28 12:37:52	Algoma	NA
2020-03-28 12:37:52	Brant	7
2020-03-28 12:37:52	Chatham-Kent	4
2020-03-28 12:37:52	Durham
2020-03-28 12:37:52	Eastern-Ontario	4
2020-03-28 12:37:52	Grey-Bruce	NA
2020-03-28 12:37:52	Haldimand-Norfolk	NA
2020-03-28 12:37:52	Halton	20
2020-03-28 12:37:52	Hamilton	51
2020-03-28 12:37:52	Hastings-Prince-Edward	6
2020-03-28 12:37:52	HKPR	9
2020-03-28 12:37:52	Huron-Perth	NA
2020-03-28 12:37:52	KFLA	17
2020-03-28 12:37:52	Lambton	8
2020-03-28 12:37:52	Leeds	NA
2020-03-28 12:37:52	Middlesex-London	25
2020-03-28 12:37:52	Niagara	14
2020-03-28 12:37:52	North-Bay-Parry-Sound	NA
2020-03-28 12:37:52	Northwestern	NA
2020-03-28 12:37:52	Ottawa	75
2020-03-28 12:37:52	Peel	154
2020-03-28 12:37:52	Peterborough	13
2020-03-28 12:37:52	Porcupine	10
2020-03-28 12:37:52	Renfrew	NA
2020-03-28 12:37:52	Simcoe-Muskoka	33
2020-03-28 12:37:52	SouthWestern	5
2020-03-28 12:37:52	Sudbury	6
2020-03-28 12:37:52	Thunderbay	NA
2020-03-28 12:37:52	Timiskaming	NA
2020-03-28 12:37:52	Toronto	457
2020-03-28 12:37:52	Waterloo	69
2020-03-28 12:37:52	Wellington-Dufferin-Guelph	7
2020-03-28 12:37:52	Windsor-Essex	15
2020-03-28 12:37:52	York	163
2020-03-27 20:56:56	Algoma	NA
2020-03-27 20:56:56	Brant	4
2020-03-27 20:56:56	Chatham-Kent	4
2020-03-27 20:56:56	Durham	67
2020-03-27 20:56:56	Eastern-Ontario	4
2020-03-27 20:56:56	Grey-Bruce	NA
2020-03-27 20:56:56	Haldimand-Norfolk	NA
2020-03-27 20:56:56	Halton	19
2020-03-27 20:56:56	Hastings-Prince-Edward	6
2020-03-27 20:56:56	HKPR	9
2020-03-27 20:56:56	Huron-Perth	NA
2020-03-27 20:56:56	KFLA	17
2020-03-27 20:56:56	Lambton	8
2020-03-27 20:56:56	Leeds	NA
2020-03-27 20:56:56	Middlesex-London	23
2020-03-27 20:56:56	Niagara	12
2020-03-27 20:56:56	North-Bay-Parry-Sound	NA
2020-03-27 20:56:56	Northwestern	NA
2020-03-27 20:56:56	Ottawa	51
2020-03-27 20:56:56	Peel	116
2020-03-27 20:56:56	Peterborough	13
2020-03-27 20:56:56	Porcupine	6
2020-03-27 20:56:56	Renfrew	NA
2020-03-27 20:56:56	Simcoe-Muskoka	33
2020-03-27 20:56:56	SouthWestern	5
2020-03-27 20:56:56	Sudbury	6
2020-03-27 20:56:56	Thunderbay	NA
2020-03-27 20:56:56	Timiskaming	NA
2020-03-27 20:56:56	Toronto	457
2020-03-27 20:56:56	Waterloo	69
2020-03-27 20:56:56	Wellington-Dufferin-Guelph	7
2020-03-27 20:56:56	Windsor-Essex	9
2020-03-27 20:56:56	York	137
